Startup_Description,category,category_needed
 The company sells sustainable and environmentally friendly apparel for both men and women All the company s products are made out of bamboo hemp and nettle which are selectively sourced Company has UV Protective Antimicrobial and odorresistant products made of Bamboo and Hemp Experienced suppliers and diversified supply chain to mitigate risks Scalable with competitive pricing and fabric innovation Omnichannel presence Genderneutral and seasonagnostic products ,2,others
 Startup company working on developing renewable energy from multiple sources at residential properties Have developed and patented a working prototype on renewable energy conservation Took 1 5 years to research and develop the prototype We aim to become the incubator for new renewable energyrelated projects by using the power of the crowd within our ecosystem We will build new green energy production facilities and develop sustainable residential properties We will develop a blockchain ecosystem with microgrid controller home energy storage energy management system community energy storage and develop energy from solar and wind farms We will be connected to the National Electricity Operators to provide the necessary balance between electricity production and consumer demand Produced energy will be used locally and the remaining energy will be sold in the carbon credit market internationally Revenue will be generated from energy retail services renewable energy production carbon credits monetization residential property sales smart device sales and transaction processing fees Business owns a website patent and energy conservation devices ,6,Sustainable Energy
 An innovative business involved in the renewable energy generation space based in Ankara Turkey Business is still in the prerevenue phase We have developed prototypes of a new generator that will use renewable energy eliminating the use of fossil fuels such as gasoline and diesel We have developed concepts for 11 other inventions all revolving around renewable energy products They include helicopter powered by renewable energy electric motorboat electric 2 wheeler and 4 wheeler among other inventions All required licenses and approvals have been received We are seeking funds to set up a manufacturing unit in order to begin production of the generator We will introduce other products down the line ,6,Sustainable Energy
 We are an Australia based renewable energy startup that will be using transitioning of preexisting oil platforms to generate energy through renewable sources geothermal energy as an alternative to crude oil The business is a subsidiary of another parent company that is engaged in the training and skill development of professionals in the crude oil industry The stake is being offered in the subsidiary and not the parent company By reusing existing oil and gas platforms and by pumping geothermal heat instead of crude we not only create a renewable energy industry but we also deliver a cheap and efficient new energy source that can replace traditional fuel options We have already developed a working engineering plan and design for the projects and its required equipment There is great scope in this industry Geothermal energy is cleaner more efficient and more costeffective than burning fossil fuels and it can reduce our dependence on oil There are currently no known competitors to our concept of recommissioning and repurposing oil platforms for geothermal power production Our current prospective clients are large companies like BP Chevron and Royal Dutch Shell Already initiated conversations with Chevron and they have expressed a lot of interest in our idea We already have contacts with 3 major turbine suppliers and refurbishing companies We will be involved in the sales aspect and procurement of materials while the installation and refurbishing work will be subcontracted to other companies Our business will be headquartered in Perth Western Australia with sales offices in London Houston Bangkok and Kuala Lumpur Post funding it will take 2 years for us to start generating revenue An average project will take 69 months to be completed with a cost of USD 100 million and an average profit margin of 15 Both the promoters have a cumulative experience of over 100 years in this particular industry ,6,Sustainable Energy
 We are into service and commissioning of renewable resources project like solar wind biofuel devices and micro hydro projects Our major business activity and revenue driver is solar projects wherein we provide Solar Project EPC Solar maintenance provider Design Build Energy storage systems and Power generation systems Our clientele includes companies such as Science north Agri solar Great circle solar Caramanah and Panasonic Also we are certified solar PV installer Tesla authorized installer and Cummins power generator dealer We are planning to bag some capital intensive project in the same line of business Promoter has a business experience of 10 years and has a clear road map to steer the company into the path of success ,11,Sustainable Energy
 Company specializes in collecting waste buying waste from govt and factories and processing them to generate energy Company generates bio CNG out of waste and sells the energy to private companies Have many reputed clients to buy energy Have completed many projects in the EPC model and DBOT model The company has secured 8 integrated solid waste management projects on the DBOT model for a period of 20 years The projects have healthy operating margins of 45 and generate IRR of 35 Won a new project which will be handled by the company for 20 years and transferred to the govt Company has unsecured loans from directors and longterm loans from banks Business has 2 partners who are brothers The company was started by the father in 2003 ,12,others
 Business provides engineering services in the renewable energy sector The company has very satisfactory solvency and liquidity indicators that guarantee its economic financial and sustainability strength in the market The company has a multidisciplinary team of professionals committed to providing excellent service respecting the individuality of customers and promoting the continuous improvement of the working environment with the customer The company has a very diversified client portfolio nationwide with around 95 being recurrent and highly loyal clients and the remaining 5 coming from new clients ,5,Tech
 Neoreal estate firm that offers sustainable construction solutions Our core business is to deliver sustainable buildings structures that use intermodal containers and bamboo Have delivered 4 projects since our inception last year We have worked on restaurants leisure and residential projects Each client s payment terms are different but we usually receive a 40 advance for every project Project completion timeline varies between 6090 days Working on a concept of fractional real estate ownership which will be similar to REITs No permanent employees team is hired on a project basis 2 cofounders but only one owner with 100 ownership of the proprietorship Debtfree business ,10,others
 Real estate developer and provider of integrated sustainable solutions Our company is registered with the address of an owned property in Bucharest but we operate out of a rented facility in Tunari We mainly focus on purchase of finished residential properties within Ilfov County for resale Before the properties are resold we implement renewable energy systems floor heating for livable spaces water filtering and purifying systems When we resell the properties we are generally able to sell them at a premium of 25 So far we have bought and resold one property and now seek funds to purchase additional properties We have strong relations with 4 contractors who each provide different services and solutions Company has a web domain that is currently under development Promoter has over 4 years experience in the real estate industry ,10,others
 Ridehailing company based in Toronto and has been operational for over 2 years Customer acquisition cost over 5X less than competitors such as Uber and Lyft Repeat customer rate is over 75 Overwhelming organic driver acquisition with a waitlist of over 300 drivers In only 8 weeks we managed to capture 0 3 of the Toronto market Key differentiators include All our vehicles are hybrid or fully electric Our driver commission is about half the competitions We re 1015 cheaper Our rates don t surge We focus on fulltime drivers with at least 1year experience We inspect and roadtest drivers inperson to ensure quality Mobile app is live on Google Play Store and Apple Store App has over 500 downloads and 4 5 start ratings on Play Store App software and payment processing technology are developed inhouse We charge a percentage fee from drivers and a flat rate from riders to generate revenue Our team is exceptional and has a proven track record of success CEO Former head of operations and marketing at a startup that was funded by the popular VC television show Former physician surgeon and awardwinning clinical researcher at the University of Geneva Hospitals in Switzerland CTO Cofounder of a company that has a market cap 1 billion USD Former CTO of one of the largest Ecommerce marketplaces in Canada which was successfully acquired former senior software engineer at a company valued at 500 million CMO Worked with high profile clients such as Tylenol Gerber Renault Fiat Nestle Nescafé UNICEF MasterCard Jeep Former executive at a private corporate agency of the Ontario Ministry of Transport ,8,others
 No of retail outlets 200 No of clients 50 Building a electrical product distribution network all over Kerala Got FDI of INR 75 lakhs last year from the Netherlands Round B funding target Rs 3 7 Crore 7 plus years of experience in LED Light Manufacturing Won the Kerala State Energy Conservation award Got BIS certification for products ISO 9001 2008 Certified for QMS Philips Lighting Certified NSIC Govt Store purchase scheme enlisted Products Listed in Amazon Paytm Snapdeal and Shopclues MNRE Enlisted Channel Partner for Solar installations 10 startups to watch from Kerala by Dhanam Magazine B Tech in Electronics and MS in Consultancy Management and Quality Management graduates from Kerala University and BITS Pilani respectively ,4,others
 First in India to develop online UPS for solar power The company aims to appoint 500 distributors in 500 districts of India by 2025 electrical retail products 5 in place right now Export orders were received from 5 different countries More than 10 000 installations to date Company has an inhouse R D and project team who works from the companyowned factory Business is profitable for the last 5 years of operations The company aims to cross USD 100 million market size by 2025 and will do IPO at that stage ,8,others
 Company owns and manages energy B2B marketplace for firms involved in the energy industry This is a global platform for the entire energy industry and was launched earlier this year Marketplace serves industries such as EPC oil and gas petrochemicals water and renewables The marketplace enables companies to collaborate and increase their sales marketing advertising Companies can list themselves on the website through an annual or monthly subscription The business will earn revenue through subscriptions and advertisements The investor will get a stake in the private limited company that owns this marketplace Promoter has over 15 years of experience in energyrelated industries ,4,others
 Associated with reputed clients like Thermax Chettinad cements Deepak Fertilizers Uttam group Cheema boilers IJT and Pfizer etc Making JV with Uttam energy is under progress We are designer of power power Have completed 8 projects and currently has 3 projects in hand ,0,Sustainable Energy
 We are a startup that has developed a modular wind turbine suitable for meeting the energy requirements of the farmers Advantages low electricity cost no annoyance modular system scalable Besides our local market we have established distributors for MiddleEast based in Oman for the Benelux based in Belgium for northern villages and mines of Canada We are in discussion for demonstration projects involving heat storage greenhouses and hydrogen production all based on our low cost clean energy ,6,Sustainable Energy
 Offer installation maintenance and technical consulting for renewable energy companies operating in the wind energy space Offer services for each stage of the project Company has completed around 60 projects since inception Secure around 10 new projects each year Has around 10 to 15 regular clients who repeatedly engage us Clients are both domestic and international Physical assets include 10 vehicles tools and equipment ,1,Sustainable Energy
 We provide onsite solutions for power grids solar plants and windmills Business has completed 2 to 3 private agreements for ESS Energy Storage Solution It s a power storage method where the additional power is stored to be used in case of a power imbalance Business earns through commission construction onsite planning and advisory services We build operate and maintain these privately held solar farms throughout their lifetime Presently we have 2 projects for windmills 5 solar pipeline projects The promoter has 11 years of experience in Solar power solutions ,0,Sustainable Energy
 4year old company with 2 offices in Haiti one of them being the headquarters and another branch office in the US We offer complete solar solutions to homes offices businesses and companies Services include solar products sales solar panels installation and smart home services We purchase solar products devices solar panels batteries and inverters from China Have already sold and installed more than 3 MW worth of solar panels in the country Have over 2 000 active customers and we have become one of the leading solar energy company in Haiti Majority of our clients are from Haiti and we have some clients in the US Business is operational even during the pandemic but our sales have reduced We have a lot of experience in the market and our goal is to bring more value in this community with low price solar energy solutions to customers Owner is in the US and runs the business from the US office Physical assets owned by the business include furniture and solar product inventory ,11,Sustainable Energy
 We have developed a new telecom company from the ground up in Italy After almost 3 years we managed to get a mobile phone license in Italy at the Ministry We have a special status with the Italian Government and have received a state guarantee in the form of 80 guarantees for loans and financing Launched mobile phone services last year with 35 points of sale as of now We just started as a fibre optic internet services electricity and gas services in South Tyrol due to great demand in the zone NorthEast Italy Already have 10K mobile service users This is without doing any marketing Partnered with 550 tobacco stores in South Tyrol to sell our products and services At the moment all the stores are contracted and trained for the sale In the province of Veneto 260 additional stores are currently being contracted In the next years we have plans to get 22K more clients across South Tyrol At the moment we are operational only in Tyrol but could be expanded to other parts of Italy Company has 2 shareholders with relevant experience in this field In Italy there exist only 18 telecom licenses and we were one of the companies to receive the license ,7,others
 Company that consults on the construction of oil gas and renewable energy plants in Oman The company has worked for 10 clients is working with some right now and has an MRR of OMR 160 000 We get consultancy projects through private and government tenders Company has 2 permanent employees and 5 temporary workers The company has one owner with 100 of the shares There are no bank loans in the name of this company ,4,others
 Our company is looking to execute a renewable energy project which will include geothermal power plant CO2 liquefaction medical thermal center and a greenhouse All projects will be executed in parallel and will be interdependent with each other A land of 8 2 hectare has already been acquired and the company holds necessary certifications Feasibility study has been done by Vamed AG from Vienna Land has big thermal water and CO2 reserves The geothermal bore will be of 1 800 meters deep with the temperature presence of 80 degree Celsius ,0,Sustainable Energy
 We provide solar system integration services for clients The solar panels and products are purchased from manufacturers in China Have completed over 100 projects pan India in EPC BOP mode Small projects can be completed in 1 week while bigger projects take up to 2 years to complete Our clients are mainly corporates and MNCs We also specialize in energy audit ,11,Sustainable Energy
 Project Just Commissioned and trial production started successfully Good Market potential 20 YoY growth expected Experienced management Supported by Government Huge subsidy on project almost equality to 100 capital cost Expected turnover Rs 50 lacs per month ,4,others
 Business offering solar projects plant operations and maintenance services Currently we are working at 33 sites for regular O M We have completed more than 25 installations projects Some of our prestigious clients are Tata Hero ReNew Power Welspun Avaada Louroux Bio Energies Juwi Our assets include website domain client database and tools Promoter has more than 7 years of experience in this business ,11,Sustainable Energy
 We are manufacturers of solid fuel from agricultural waste specifically saw dust briquettes These briquettes are used in various industries such as chemical fabrication and processing industries to heat water It is an alternative to coal and is more ecofriendly and greener than coal Have capacity to produce 400 tonnes on a monthly basis We have 5 industrial clients in West Bengal who buy our products and we also have 6 suppliers for our raw materials Promoter has over 5 years of experience working in industrial sales ,12,others
 The company has been operating since 2014 It has a good history Highly qualified specialists in the field of molecular physics and innovative technologies are assembled Two doctors of sciences and six candidates of sciences In two years our assets have grown from 100 000 rubles in 2018 to 3 8 billion rubles in 2020 We have a unique technology for obtaining gas from organic waste As well as a technology for obtaining pectin by the acidfree method The company has awards and a diploma of the Minister of Agriculture of Russia Our technology is recognized as unique There are customers for our technology and products We work on equity capital Therefore we are looking for a reliable business partner We can produce up to ten reactors with a capacity of 20 cubic meters per hour We are looking for an investor for the production of 5 000 000 liters of pectin drink See business plan ,6,Sustainable Energy
 Company involved in providing various services in the marine sector has developed a novel modular ship Green design for zero carbon global delivery of cargoes that will address climate change issues and achieve zero carbon emissions in the marine supply chain Currently we are in the prototype development phase and are working towards finalizing the enduser experience Our technology makes it possible to power the selfsustaining sea train by a combination of wave energy wind energy solar energy and green Hydrogen Allowed by request we have developed the design concept and an online demo version to see the design including tank testing data Have planned more applications using our innovative power generation technology which can be integrated into the fields of desalination hydrogen generation as well as medical oxygen production Revenue model users will be charged a licence fee to use the technology in addition there will be O M contracts as well as a 2 5 royalty on every kW of power generated Marketing plan aim to promote our technology on social media platforms including industry platforms like the Marine Technology Society Institute of Marine Engineering Science and Technology Institute of Engineering Technicians Royal Institute of Naval architects and the International Institute of Marine Surveying all of which the founder is a member of The founder has 35 years of experience in the industry and is a Chartered Engineer registered with the UK Engineering Council Company is registered in Scotland the United Kingdom and members of the technical team are based in India Singapore Cyprus and Thailand The company is a oneman show with the technical team being hired on an adhoc basis We witnessed a drop in our sales as the founder is unable to go onsite due to travel restrictions ,6,Sustainable Energy
 13yearold EPC company with a history of successful and delivered EPC projects Company has successfully delivered 10 EPC projects Our company has been earned revenue in the past through EPC and various other projects Currently we are having projects in IT and Hydro power to the tune 100 crore Company has been allotted 3 small hydropower projects in the IPP Independent Power Producers mode Our first 6 MW actually 7 2 MW with reserve hydropower plant is near completion and will be commissioned in the next 3 months PPA is done and the envisaged energy generation from this plant alone is around 32 million units There are two more projects of 7 MW each that for which detailed Engineering is going on and work will be started after we get the survey and design The investor will get a stake in this company We require funds to complete the 2 remaining projects and want to bid for more projects both on EPC and boot basis Our goal is to become national player in Hydro power and IT business ,1,Sustainable Energy
 One year old tech product startup with paying customers Company is into development of hardware and software products for industries 4 0 Applications Our first product is ready It is for collection and analysis of industrial data with provisions for integration of AI and ML powered data analytics End users market focus on renewable energy water energy verticals Taken order from ministry of water in Saudi Arabia Other customers like ISRO and Ultratech Cements are considering to buy our product The software products will be provided to the end users in the form of a CD and all the license for security compressed in a dongle without which the software wont work Hardware products with wireless communication and edge intelligence capabilities Promoter has been working in the field of automation for more than a decade ,2,others
 Planning to start a waste management project with an integrated electric power production complex Our project involves the construction of a plant for recycling of rubber products tires We plan to setup the facility and cater to the Hungarian market where there is a deficit of such facilities The main feature of this project is the almost complete utilization of rubber waste with the least possible impact on the environment and the production of clean electric energy and harmless carbon black which is the raw material for many products and industries At the heart of this project is a unique patented gasification technology developed by our company which held several necessary tests and have the appropriate expert advice The total amount of investment in the project is defined at EUR 10 million while the NPV of the project is in the range of EUR 910 million With an average return on investment of 4 5 years the project profitability index is approaching 2 0 range We are ready to take over the obligations of the managing party in the project but we are also ready to consider options for joint project management or transfer of control in the project to the investor Attached a copy of the protocol of intent in the profile below with details of the potential supplier of raw materials We are planning to obtain a license for a green tariff for electricity as we will produce it from waste For the past four months we have been working with the Hungarian government authorities to obtain any preliminary confirmation of the purchase of electricity from us in the event that we receive a green tariff license in accordance with the established procedure But the pandemic and the work of government agencies during the pandemic did not help us in getting the result We have created a working prototype on which we tested our technology Based on the test results we prepared a business plan for the creation of an industrial enterprise operating according to proven technology The main objects of the supplier of raw materials are located in the town of Szolnok which is located 140 km from the town of Tiszaujvaros and the town of Debrecen which is located 75 km from the town of Tiszaujvaros There are good transport links between these cities which provides the supplier with the ability to efficiently deliver raw materials from both sites The founders are the citizens of Ukraine and live there Images attached below are the images of the working prototype of our technology ,1,Sustainable Energy
 Our business is well known for its highquality products and services We also provide power analysis and power surge protection for our clients Business provides installation and assembles of power energy products Business has over 1 300 leading companies as customers about 250 are bluechips top 1 000 companies in the country since its inception Our vendors are from 1 Brazilian industrial company 5 European companies which provide our branded product and a LED manufacturing company in India The promoter has 35 years of business experience in renewable energy projects in Sri Lanka Firm has saved over LKR 4 billion in energy for the industry since its inception Nearly LKR 100 million revenue was generated in the last 5 years except Covidyear Our staff reduced to 8 from 15 after the Covid lockdown to ensure there is no loss Unblemished track record with no debtors except for utility bills The company has immense potential and had been highly profitable throughout its history of 35 years The current EBITDA is reflective of only the last 3 year s performance and the company has the potential to operate with higher EBITDA margins ,4,others
 Our primary activities include providing solutions to power outage To keep the power on when the power goes out or to provide power when none is available we use a range of models that include 100 percent renewable hybrid wind solar and battery storage devices We serve 510 clients on a monthly basis and all our sales are directed to commercial customers via our in house sales personnel Our clients include navy air force city state parks and schools We outsource most of our manufacturing activities Won Most Innovative Product award for our EnergiPlant We were growing through 2019 when things stopped for Covid19 This is the reason for the downfall of our sales in the last few months ,0,Sustainable Energy
 We are looking to invest in an operational biomassbased product manufacturing company and are seeking investor partners for funds The company that we have identified manufactures biomass ovens and biomassbased products to produce renewable energy The new company has started operations using biomass side products from the production of another company and other sources with its own developed machines to produce electricity and heat at the same time with very high energy efficiency rates 90 and lower cost 55 cost savings versus natural gas The current capacity of the plant is 10 000 tonnes annually and can produce 30 000 tonnes post obtaining funds A new much larger production site is almost finished the machines and production certified with TüVSüd accreditation Annual revenue so far is EUR 3 68 400 but the capacity of the new production site and demand from customers across Europe suggests significant growth potential Company is owned by a single director The firm has a business loan of EUR 1 million ,6,Sustainable Energy
 Realestate investment company that owns a centrally located city center supermarket We own 3 buildings and the property is leased out to 120 independent vendors that sell a variety of fresh produce cold cuts vegetables fruits household products and apparel We generate revenue through the monthly rental payments given by the 120 vendors that the property has been leased out to The supermarket experiences over 3 500 to 4 000 customers on a daily basis There is ample of parking space available in the facility 95 cars Consists of 3 commercial building with a total area of 4 632 square meters Area of the land property is 7 775 square meters On average rent per square meter is in the range of 42120 dollars and this depends on the facilities used by the shopkeeper for example fridges and electricity used All the facilities equipment are provided by us Each store is a pavilion with an average area of 4 5 square meters each can vary Promoters have 14 years of experience in this particular industry ,3,others
 2year old technology based shipping platform in Madrid Spain Company offers 5 0 logistic operator with sustainable delivery services through electric vehicles for B2B and B2C clients We offer delivery services from one company to another company within Spain and also deliver company goods to consumers in Spain Have around 2025 electric vehicles and also partnered with other transportation companies for vans Within a few months of operations we are already working with customers as Cabify unicorn startup in Spain Aliexpress Vamox Instapack Have iOS and Android mobile app with over 20 000 downloads and 10 000 services per month Company is at the growth stage ,5,Tech
 Our company provides an opportunity to our customers to purchase their daily use and personal care products in an ecofriendly and sustainable manner We have partnerships with Unilever and Nivea Our company purchases their products in bulk at a subsidised cost such as creams face wash salt flour coffee etc We are also under negotiations with ITC Limited and Reckitt Benckiser Life of the partnership is 5 years with a renewal option These products are then stores at our sustainable efill trucks which go from one residential society to another between Borivali and Kandivali Our customers simply step out from their apartments and purchase their desired products by bringing their own containers and simply refilling them at our truck renting an aluminium container from us at a deposit of INR 100 or purchase the product from us in the aluminium container itself Purchasing products this way costs our customers 20 percent lesser as compared to buying them from a supermarket in a plastic container or packet Till date our company has diverted over 8 million plastic containers from entering the landfill and diverted 28 8 thousand tonnes of plastic contributing to the prevention of 1 000 tonnes of crop from being burnt Customers can also purchase products on our website which will be delivered to them in our branded aluminium containers They can return us the containers by visit at our truck Currently there are 4 such efill trucks functioning Each costs INR 4 lakhs to build and purchase However our company will have over 12 such trucks running across Mumbai by the end of the year The company was selected as the regional finalists of Young Champions of The Earth where it will represent India Asia Pacific The company was also recognized by Reboot the Ocean Greenpreneurs and UnLtd India The business also has affiliations with Burger King McDonalds and Starbucks stores in Mumbai where we supply them with the products they require in aluminium containers These containers are then refilled everyday with the same products as per the specific needs of the stores Our company is aiming to pilot instore refill machines where costumers can simply come to the store and refill their desired products in their own container instead of purchasing them in a plastic packaging from a store The company is also in talks with India s leading evehicle manufacturer Kinetic Green to boost its scaleup plan The business is extremely valuable due the enormous growth potential of the industry ,8,others
 Our company is essentially an ethical and sustainable sportswear brand that sells a variety of products and accessories to its customers under its own brand name Our products are created from recycled and wasted clothes fabrics We do not manufacture the products ourselves Manufacturing is outsourced from 3 manufacturers in Cambodia who source waste clothes fabric themselves and then further convert it into the final product There is no explicit contract with either of them We currently have over 14 different SKUs under our own brand name Each SKU is available in 4 different sizes Our products are primarily shipped in Cambodia and France However we do offer worldwide shipping as well where the courier cost is borne by the costumer Our company generates revenue through two channels selling our goods directly on our own ecommerce website and by selling the products directly to different distributors who then sell our products at different gyms yoga studios and fitness clubs across Cambodia Over 70 percent of the revenue is generated through our ecommerce website We receive about 30 40 orders every month through our website Our business is extremely valuable as we are the first company to penetrate into this niche industry of sustainable sportswear in the Cambodian market ,2,others
 We are an EdTech firm catering to students up to class 12 with their own application and website Content for CBSE classes is live and state syllabus classes production is under process Have both B2B and B2C business models in operations In the B2B model we tie up with schools and provide our content There are around 2 800 registered students and 180 teachers with us We can expand the business pan India within a short time period Initial 1 year went into the R D of our content and business model and we started sales in the last 4 months We have achieved sales of nearly INR 4 crores till now and we have signed B2B agreements worth INR 3 crore Promoter is a passionate teacher and academic backbone of the firm with 10 years of experience in the education sector Company is owned by 4 partners the majority stakeholder owns 33 of the company and the rest is divided among other partners We do not have any outstanding bank loans debt on the company ,9,others
 SP4U is a technology integrator in renewable and sustainable power generation systems It distributes Solar and Wind power generation equipment with the latest technologies It integrates complete and reliable small to mediumsized nongrid electrical generation systems that include power generation power storage and energy supply It integrates its systems into the grid or remains standalone for urban societies rural communities or remote locations It deals with power generation systems from 300 watts to 50 kWh It supplies power tools appliances and equipment capable of operating with the solar or wind power systems it supplies All systems equipment or tools are economically priced to enter into nontraditional markets and to make energy accessible and affordable to the neediest people on earth SP4U is a proponent of renewable and sustainable power generation systems decentralized power generation specifically designed to supply energy to a farm a house a building a school a hospital or an application onsite Power reliability can be provided with energy storage capabilities This approach allows the development of rural land even if the power grid has not been reached or is inexistent SP4U is a proponent of growing the power generation system in a modular manner and in accordance with the onsite growing power requirements It further supports the production of tools appliances and equipment that works with DC to reduce the cost of the entire power generation supply and usage system for the benefit of mankind ,0,Sustainable Energy
 Company provides engineering procurement and construction services and undertakes turnkey projects in high tech chemicals oil gas pharmaceuticals and energy sectors We specialize in sustainable and environmental design and engineering smart IoT based solutions and turnkey projects Have worked on 67 major projects since inception Project worth ranges from USD 1 5 million to USD 8 million and the average duration for completion is 12 years Our reputed clients include Saudi Aramco S C International Sadara and Actavis Business is at the beginning of a new chapter supporting the Kingdom of Bahrain in the renewables sector with sustainable projects including vertical farming aquaculture and biofuel production We have 3 new projects in hand worth USD 20 million 7 5m 7 5m 5m and require investment to fund the immediate projects Have 6 permanent backoffice staff and around 20 contract staff for onsite operations Our registered office is in Dublin and our main design office with employees is in Seef Bahrain Our main operations and clients are in Bahrain Czech Republic and Saudi Arabia ,1,Sustainable Energy
 We are a company that provides solarbased systems on a rental basis to complement diesel generators used by oil gas companies For the last 5 years we have been involved in the sale of solar systems and solarpowered equipment but we now plan to rent out solar energy units We seek to set up 12 solar energy units in variant capacities of 40 KW 50 KW and 60 KW to rent out to oil production companies These would be used as an assisting energy source for diesel generators used in pumping This would save around 30 of the oil production cost and is also green maintenancefree renewable sustainable The target market is EGP 2 5 billion 150 000 000 servable market is EGP 3 2 billion 200 000 000 and the potential market is EGP 5 2 billion 300 000 000 We have a qualified team consisting of a petroleum engineer 2 geologists 2 electrical engineers an accountant and 6 technicians Plan to hire 6 more people on the team including 3 electrical engineers and 3 technicians We have worked with all major listed oil gas companies which amount to about 50 companies We plan to market our new vertical to these companies as well as to additional companies across Egypt Eventually we would look to grow internationally Promoter has more than 20 years of experience in the field of oil gas including 6 years of experience at the head of this firm Was awarded the best Arabian Startup Company in Solar Energy Efficiency from Arabian League Feasibility study using solar energy in the oil field attached ,6,Sustainable Energy
